cohort,cohort_years,dod_occ_code_level,dod_occ_code,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,3,154,1695,1699,966,1756,873,462,26830,36300,40980,37650,48900,59610,51840,68280,81990,1,1,1,1,1,1,1,1,1
0,16,3,155,18920,17060,10430,25680,12880,6770,22890,29770,34540,33950,43290,48950,49290,61790,69860,1,1,1,1,1,1,1,1,1
0,16,3,156,862,735,437,1168,579,309,21430,27820,34970,31350,39160,47250,42640,54440,66120,1,1,1,1,1,1,1,1,1
0,16,3,157,544,419,232,673,288,140,27380,38530,43050,43320,59540,67050,63540,82120,93290,1,1,1,1,1,1,1,1,1
0,16,3,160,9343,6960,3323,6279,2749,1301,31170,42460,47540,48610,61060,66130,67310,79180,84990,1,1,1,1,1,1,1,1,1
0,16,3,161,29810,24830,16150,25820,14100,8208,23880,31210,36640,34480,44530,51310,48050,60640,70010,1,1,1,1,1,1,1,1,1
0,16,3,162,1355,1184,782,1420,870,470,22680,28950,33390,32940,42480,47470,48350,61090,69280,1,1,1,1,1,1,1,1,1
0,16,3,164,4794,4338,2861,5151,2675,1549,23240,30210,34080,35140,45090,49770,50910,62480,69800,1,1,1,1,1,1,1,1,1
0,16,3,165,244,246,158,241,116,73,23230,30500,38610,35110,43680,53670,50890,62010,73150,1,1,1,1,1,1,1,1,1
0,16,3,166,3226,2798,1780,3634,1885,912,23950,30890,36740,35380,44910,52380,50780,62860,74500,1,1,1,1,1,1,1,1,1
0,16,3,169,1129,1098,803,1847,909,515,20430,26960,30110,29650,39010,44980,41190,52200,63910,1,1,1,1,1,1,1,1,1
0,16,3,170,5698,6001,4902,4855,3722,2512,22670,31460,37580,32820,44020,51460,45350,60140,71500,1,1,1,1,1,1,1,1,1
0,16,3,171,4258,3296,1873,4339,2132,1092,22540,30620,34700,32660,44070,50330,46390,60050,68670,1,1,1,1,1,1,1,1,1
0,16,3,172,2837,2342,1477,3786,1666,774,22280,29360,36590,32430,43120,51730,45270,59270,72940,1,1,1,1,1,1,1,1,1
0,16,3,174,110,151,107,127,91,66,21750,26270,29640,29780,39960,43620,38560,54020,63570,1,1,1,1,1,1,1,1,1
0,16,3,176,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
0,16,3,180,6820,6080,3717,10290,5055,2606,19590,24720,28390,27600,35470,40740,38740,48510,56180,1,1,1,1,1,1,1,1,1
0,16,3,181,10200,7402,4017,13780,5972,2578,22070,28210,32360,31330,40270,45880,43480,54450,63070,1,1,1,1,1,1,1,1,1
0,16,3,182,8123,6860,4137,11540,5626,2793,21000,26920,30990,29650,38680,44640,41630,53590,61960,1,1,1,1,1,1,1,1,1
0,16,3,183,13520,10830,6132,10810,4546,2135,25790,36010,42990,36740,49330,59550,49720,66940,82720,1,1,1,1,1,1,1,1,1
0,16,3,184,632,579,375,1126,541,268,19830,23260,29140,26910,34690,39870,38660,46460,56490,1,1,1,1,1,1,1,1,1
0,16,3,186,1044,906,589,1522,741,375,20160,28830,33780,29290,40840,47730,42300,57470,66990,1,1,1,1,1,1,1,1,1
2000,8,A,000,182800,198200,155000,135400,118800,84100,23230,31460,36500,34280,45750,52630,49450,65220,75530,1,1,1,1,1,1,1,1,1
2008,8,A,000,129400,64620,,207500,50090,,23470,30190,,35190,44350,,53650,64890,,1,1,-1,1,1,-1,1,1,-1
2000,8,3,101,27680,29680,23970,22110,19840,13790,21590,29950,35840,31300,43510,51530,43980,61600,74430,1,1,1,1,1,1,1,1,1
2000,8,3,102,6067,6378,4879,4245,3887,2854,21820,29620,33870,31560,42650,48520,43800,58210,68080,1,1,1,1,1,1,1,1,1
2000,8,3,103,5240,5678,4450,4029,3551,2380,21370,29210,35500,30620,41860,50550,42310,57600,70940,1,1,1,1,1,1,1,1,1
2000,8,3,104,11790,12790,10180,9084,7968,5858,21330,28410,33620,30680,41200,48450,42720,57300,68200,1,1,1,1,1,1,1,1,1
2000,8,3,106,230,253,230,187,163,115,23120,27350,33310,32950,42290,47220,46280,58330,65590,1,1,1,1,1,1,1,1,1
2000,8,3,108,161,206,147,130,83,55,30620,41000,49990,62940,75120,76560,90410,111600,117600,1,1,1,1,1,1,1,1,1
2000,8,3,110,10210,11310,8749,6670,5511,3858,25590,34490,40000,39780,51850,59440,62700,76330,85590,1,1,1,1,1,1,1,1,1
2000,8,3,111,322,396,331,299,224,173,22270,29780,37860,31890,42760,51370,41890,58980,69450,1,1,1,1,1,1,1,1,1
2000,8,3,112,641,682,517,414,360,250,25020,33510,40540,39060,48580,57550,60330,71990,83620,1,1,1,1,1,1,1,1,1
2000,8,3,115,90,81,99,,,,32720,44740,53870,59130,66170,78150,81180,100200,111500,1,1,1,5,5,5,1,1,1
2000,8,3,116,132,156,144,104,74,70,21600,27730,35890,32020,40180,54890,54050,63290,72680,1,1,1,1,1,1,1,1,1
2000,8,3,119,292,290,59,184,174,,24730,35320,39730,43530,53490,62350,62940,71540,83880,1,1,1,1,1,5,1,1,1
2000,8,3,120,683,710,597,460,426,294,21490,31700,36610,32230,44620,54340,47190,63640,76850,1,1,1,1,1,1,1,1,1
2000,8,3,122,898,959,687,544,473,319,25270,37820,42300,39740,60550,64980,61960,81450,91270,1,1,1,1,1,1,1,1,1
2000,8,3,123,3840,4254,3198,2750,2339,1664,30350,41020,47050,53810,68090,74910,81210,99390,107500,1,1,1,1,1,1,1,1,1
2000,8,3,124,4391,4716,3632,2925,2587,1806,29380,41270,45320,50950,67700,71560,81200,96940,102000,1,1,1,1,1,1,1,1,1
2000,8,3,125,7428,7985,6279,5953,5325,3558,20590,28260,34500,29560,41090,49710,41410,56820,69830,1,1,1,1,1,1,1,1,1
2000,8,3,126,4108,4500,3570,2494,2063,1486,28100,37200,42810,43650,56820,64710,66610,81640,90520,1,1,1,1,1,1,1,1,1
2000,8,3,127,221,247,132,125,109,65,29330,47990,40180,53450,69380,69870,79500,96540,94070,1,1,1,1,1,1,1,1,1
2000,8,3,130,1826,1931,656,1346,1230,239,26330,35410,46690,38680,50220,64370,54880,68160,82580,1,1,1,1,1,1,1,1,1
2000,8,3,131,546,623,320,346,275,119,30490,35960,40910,41200,48580,54520,59590,70090,82280,1,1,1,1,1,1,1,1,1
2000,8,3,132,848,969,674,620,514,342,26130,33300,36830,38490,49090,53790,53440,65740,76330,1,1,1,1,1,1,1,1,1
2000,8,3,133,74,77,77,54,54,,28110,35380,35380,38830,46650,46650,53120,76760,76760,1,1,1,1,1,5,1,1,1
2000,8,3,134,473,525,382,335,288,188,24400,33400,38470,34680,46730,52810,47020,64270,74700,1,1,1,1,1,1,1,1,1
2000,8,3,140,328,368,309,246,206,138,28220,35110,40840,45850,56990,64540,67570,79850,90940,1,1,1,1,1,1,1,1,1
2000,8,3,141,797,874,678,634,554,393,23090,29550,34250,36000,45150,51190,51090,66970,77200,1,1,1,1,1,1,1,1,1
2000,8,3,142,101,118,100,107,77,56,19080,25710,34080,26800,38520,45030,35180,52930,62580,1,1,1,1,1,1,1,1,1
2000,8,3,143,494,523,386,201,175,122,41480,54180,59120,59560,73530,81710,84120,95930,103900,1,1,1,1,1,1,1,1,1
2000,8,3,145,495,607,463,603,504,357,23350,32780,40140,34940,46020,54910,47570,61620,74920,1,1,1,1,1,1,1,1,1
2000,8,3,149,1773,2105,2000,1508,1166,1097,22600,29370,36160,33550,44200,52270,47310,61700,75330,1,1,1,1,1,1,1,1,1
2000,8,3,150,3968,4332,3689,2609,2206,2048,28000,35510,39780,39310,48850,55690,53850,67190,77810,1,1,1,1,1,1,1,1,1
2000,8,3,151,4048,4566,3796,3472,2934,2237,23990,32660,37810,34960,45930,53200,49190,64390,76630,1,1,1,1,1,1,1,1,1
2000,8,3,152,3256,3522,2141,2312,2021,1167,27850,39380,43530,40640,55090,63190,62850,79230,88030,1,1,1,1,1,1,1,1,1
2000,8,3,153,3188,3347,2313,2140,1952,1016,28170,37070,40980,46020,59460,66630,73150,87300,96450,1,1,1,1,1,1,1,1,1
2000,8,3,154,1119,1301,970,830,644,464,26750,35820,40670,36880,48280,59040,49480,68400,81480,1,1,1,1,1,1,1,1,1
2000,8,3,155,11770,13250,10430,10890,9327,6771,22630,30390,34530,33130,43820,48930,46770,61780,69850,1,1,1,1,1,1,1,1,1
2000,8,3,156,533,581,439,467,423,310,22070,27970,33550,32220,39380,46640,42800,55350,65000,1,1,1,1,1,1,1,1,1
2000,8,3,157,286,302,239,226,201,131,27000,37590,42380,40180,57620,65240,57800,81470,91850,1,1,1,1,1,1,1,1,1
2000,8,3,160,4813,5029,3336,2067,1817,1301,31310,43870,47460,48050,62510,66180,66010,80600,85090,1,1,1,1,1,1,1,1,1
2000,8,3,161,19020,19880,16150,11620,10650,8213,23960,31510,36610,34400,44850,51280,47640,60930,69970,1,1,1,1,1,1,1,1,1
2000,8,3,162,915,974,789,737,683,467,22780,29170,33220,32260,42580,47420,45370,61350,69450,1,1,1,1,1,1,1,1,1
2000,8,3,164,3188,3487,2866,2375,2053,1549,22920,30580,34090,34520,45420,49750,49040,62590,69890,1,1,1,1,1,1,1,1,1
2000,8,3,165,204,207,157,110,94,72,22690,29070,38630,34780,44190,53590,50160,62040,72170,1,1,1,1,1,1,1,1,1
2000,8,3,166,1994,2166,1778,1530,1351,912,24110,32090,36640,35510,45830,52070,49520,63140,74000,1,1,1,1,1,1,1,1,1
2000,8,3,169,742,926,795,900,700,516,20090,27090,29680,30000,39330,44780,40900,52350,63690,1,1,1,1,1,1,1,1,1
2000,8,3,170,5117,5731,4912,4162,3517,2519,22820,31670,37600,32950,44240,51460,45480,60550,71520,1,1,1,1,1,1,1,1,1
2000,8,3,171,2369,2439,1873,1602,1515,1092,22940,31140,34780,33550,44870,50450,46800,60700,68700,1,1,1,1,1,1,1,1,1
2000,8,3,172,1605,1772,1484,1250,1067,771,23320,30660,36280,33580,44840,51490,47180,60940,72810,1,1,1,1,1,1,1,1,1
2000,8,3,174,106,136,105,115,83,66,21060,26440,27990,27550,37560,40560,36070,50120,57490,1,1,1,1,1,1,1,1,1
2000,8,3,176,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
2000,8,3,180,4358,4732,3731,4133,3703,2602,19430,25110,28380,27390,35810,40780,38280,48890,56340,1,1,1,1,1,1,1,1,1
2000,8,3,181,4889,5132,4010,3878,3598,2579,22660,29090,32430,32340,41280,45930,43880,55270,63060,1,1,1,1,1,1,1,1,1
2000,8,3,182,4709,5180,4148,4561,4067,2788,20620,26750,31000,28710,38530,44680,39530,53480,62050,1,1,1,1,1,1,1,1,1
2000,8,3,183,7504,8051,6144,3573,2999,2134,27400,37540,42950,38340,51030,59540,51140,68640,82720,1,1,1,1,1,1,1,1,1
2000,8,3,184,364,442,376,443,370,264,19400,23480,29490,25670,35130,39700,36750,46570,54520,1,1,1,1,1,1,1,1,1
2000,8,3,186,664,733,571,610,538,374,19730,29730,33850,28800,41650,48550,41460,57720,67350,1,1,1,1,1,1,1,1,1
2008,8,3,101,22140,11710,,39210,10020,,21910,29090,,31700,42320,,47150,62090,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,102,2939,1607,,4185,1183,,22580,27970,,32710,41120,,48220,58380,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,103,3877,1781,,6713,1434,,21170,27820,,30350,40640,,43420,56650,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,104,6811,3277,,10890,2626,,21860,28920,,31550,41180,,46910,59050,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,106,110,75,,233,69,,21460,22360,,28300,35550,,44690,51630,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,108,557,279,,469,131,,31800,39730,,66200,67760,,106400,103400,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,110,6657,3165,,9083,1946,,26730,34900,,43170,54730,,68330,80180,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,111,97,64,,243,52,,23990,25950,,30500,38380,,43210,62160,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,112,357,197,,480,131,,27410,31810,,40890,50550,,62950,79430,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,115,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2008,8,3,116,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2008,8,3,119,539,316,,855,179,,24330,28740,,37320,43130,,57900,65370,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,120,333,181,,558,124,,22820,34340,,36470,45740,,63200,68090,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,122,531,280,,667,158,,24020,32460,,38720,56440,,61520,79380,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,123,2193,1135,,2498,799,,38780,41090,,72100,72860,,98450,102100,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,124,4729,2108,,5916,1402,,34150,39920,,63700,66630,,94440,93980,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,125,6961,3666,,12360,3044,,21080,27290,,29780,39810,,42380,55700,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,126,1544,979,,1623,517,,31040,38710,,51100,58620,,75210,82120,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,127,,,,,,,,,,,,,,,,1,1,-1,5,5,-1,1,1,-1
2008,8,3,130,5869,3136,,11550,2649,,23190,31190,,33970,43530,,47690,59260,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,131,999,499,,1049,277,,33880,36980,,45260,49340,,59850,68330,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,132,812,390,,1246,328,,26750,33750,,42090,48410,,59820,65240,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,133,267,163,,594,138,,23920,31510,,33510,38870,,43450,50720,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,134,492,317,,925,230,,24520,28460,,36420,42250,,49920,61540,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,140,256,135,,417,70,,30300,39880,,47840,61720,,76270,80640,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,141,536,277,,889,203,,25870,30620,,38640,47090,,66330,74960,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,142,,53,,78,54,,,29950,,,39410,,,71350,,5,1,-1,1,1,-1,5,1,-1
2008,8,3,143,536,242,,560,115,,31730,39340,,54990,62000,,83740,91200,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,145,255,167,,615,165,,22100,32560,,33270,42090,,48200,56220,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,149,366,213,,584,159,,25430,31140,,37220,45340,,49310,57560,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,150,1603,691,,1054,330,,34430,42410,,46020,55390,,62280,73540,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,151,463,208,,691,162,,25310,38580,,37800,51490,,52270,70360,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,152,3339,1858,,5489,1339,,27130,36240,,40660,52330,,63700,76670,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,153,4387,2053,,6056,1450,,27340,32220,,43650,50970,,66470,75700,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,154,577,408,,924,230,,26560,37160,,39910,50670,,55870,68660,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,155,7145,3816,,14800,3547,,23280,27750,,35620,41310,,53690,61770,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,156,332,170,,706,154,,21030,26960,,30710,38380,,42770,51210,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,157,272,114,,447,86,,28110,33420,,48330,58880,,72060,83880,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,160,4524,1920,,4212,936,,31070,39620,,49280,57420,,68660,75670,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,161,10800,4965,,14200,3447,,23720,30040,,34600,43070,,48930,58970,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,162,439,212,,681,190,,22810,26080,,35630,41140,,54530,59750,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,164,1635,861,,2772,621,,23660,28710,,36290,43260,,55500,61850,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,165,51,,,130,,,22840,,,40500,,,49520,,,1,5,-1,1,5,-1,1,5,-1
2008,8,3,166,1216,645,,2104,532,,23710,28310,,35190,40980,,53080,61580,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,169,378,182,,947,210,,20640,26530,,28110,38640,,39700,54730,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,170,556,270,,692,204,,21790,28500,,31350,40790,,42770,54780,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,171,1890,834,,2736,616,,22180,29640,,31760,41380,,45770,57130,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,172,1245,570,,2536,596,,21240,24880,,30810,38610,,43270,52440,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,174,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2008,8,3,176,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2008,8,3,180,2455,1341,,6151,1355,,19810,23390,,27900,34210,,39600,47360,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,181,5325,2270,,9899,2376,,21610,26450,,30300,37850,,43100,52320,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,182,3421,1683,,6983,1560,,21490,27550,,31360,39460,,44740,54580,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,183,6012,2766,,7234,1545,,24130,32290,,34790,44960,,47370,60700,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,184,256,152,,682,169,,20510,22790,,28900,34000,,40030,49020,,1,1,-1,1,1,-1,1,1,-1
2008,8,3,186,384,185,,915,203,,20710,25280,,30360,36970,,45100,53150,,1,1,-1,1,1,-1,1,1,-1
