cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2006,2,E,E5,12310,12860,,9145,8542,,24800,35340,,36770,49760,,52060,70040,,1,1,-1,1,1,-1,1,1,-1
2006,2,E,E6,4386,4411,,2513,2441,,30870,40270,,43980,55860,,63050,79870,,1,1,-1,1,1,-1,1,1,-1
2006,2,E,E7-E9,8791,8710,,3413,3449,,39230,48820,,54630,66930,,74940,88990,,1,1,-1,1,1,-1,1,1,-1
2008,2,E,E1,877,1339,,2367,1878,,19370,21130,,25540,29560,,35460,42340,,1,1,-1,1,1,-1,1,1,-1
2008,2,E,E2,390,596,,1077,859,,18610,20890,,24610,29860,,34790,43100,,1,1,-1,1,1,-1,1,1,-1
2008,2,E,E3,664,1272,,2200,1576,,19530,22400,,27780,31840,,37780,44130,,1,1,-1,1,1,-1,1,1,-1
2008,2,E,E4,8488,14720,,19580,13240,,21820,25900,,30900,37600,,44110,53070,,1,1,-1,1,1,-1,1,1,-1
2008,2,E,E5,8009,11990,,12040,7991,,26620,33110,,39410,46760,,57970,66090,,1,1,-1,1,1,-1,1,1,-1
2008,2,E,E6,3560,4145,,3296,2722,,34400,38010,,48920,53720,,71900,77650,,1,1,-1,1,1,-1,1,1,-1
2008,2,E,E7-E9,7495,7509,,3603,3569,,45100,46510,,61640,64960,,83980,86270,,1,1,-1,1,1,-1,1,1,-1
2010,2,E,E1,1130,808,,3232,1144,,18160,21380,,23370,30040,,32790,41820,,1,1,-1,1,1,-1,1,1,-1
2010,2,E,E2,492,394,,1575,533,,18820,21140,,24410,28760,,32350,39340,,1,1,-1,1,1,-1,1,1,-1
2010,2,E,E3,968,839,,3396,1124,,18330,21960,,24880,32300,,35220,43330,,1,1,-1,1,1,-1,1,1,-1
2010,2,E,E4,10580,9500,,27270,7995,,20950,26590,,29810,38080,,43400,53200,,1,1,-1,1,1,-1,1,1,-1
2010,2,E,E5,7162,6024,,13050,3882,,25200,33070,,38050,47250,,59590,66280,,1,1,-1,1,1,-1,1,1,-1
2010,2,E,E6,3293,2079,,4492,1636,,30490,35650,,46150,50110,,74150,74240,,1,1,-1,1,1,-1,1,1,-1
2010,2,E,E7-E9,6756,3387,,4691,1963,,39070,43620,,58220,61150,,83820,82810,,1,1,-1,1,1,-1,1,1,-1
2012,2,E,E1,1396,,,3104,,,18420,,,24680,,,33650,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,E,E2,635,,,1446,,,18190,,,24530,,,34560,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,E,E3,1635,,,3826,,,18630,,,24810,,,34660,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,E,E4,20260,,,36500,,,20400,,,28650,,,40400,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,E,E5,10560,,,16000,,,23250,,,33990,,,49940,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,E,E6,4376,,,5998,,,26290,,,38990,,,59690,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,E,E7-E9,6028,,,6016,,,33260,,,48230,,,71310,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E,E1,667,,,967,,,19290,,,25670,,,35660,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E,E2,265,,,440,,,18040,,,24980,,,36330,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E,E3,803,,,1401,,,18840,,,26140,,,34960,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E,E4,11440,,,15950,,,20760,,,29460,,,40720,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E,E5,6071,,,7707,,,24370,,,35290,,,49610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E,E6,2618,,,3361,,,27460,,,40220,,,56490,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E,E7-E9,2707,,,2948,,,33020,,,46410,,,65830,,,1,-1,-1,1,-1,-1,1,-1,-1
